UPOVGroup,RHS,english,français,deutsch,español
58,114D,dark green blue,bleu-vert foncé,dunkelgrünblau,azul verdoso oscuro
57,115A,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
57,115B,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
57,115C,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
57,115D,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
58,116A,dark green blue,bleu-vert foncé,dunkelgrünblau,azul verdoso oscuro
58,116B,dark green blue,bleu-vert foncé,dunkelgrünblau,azul verdoso oscuro
58,116C,dark green blue,bleu-vert foncé,dunkelgrünblau,azul verdoso oscuro
57,116D,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
57,117A,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
57,117B,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
56,117C,light green blue,bleu-vert clair,hellgrünblau,azul verdoso claro
56,117D,light green blue,bleu-vert clair,hellgrünblau,azul verdoso claro
57,118A,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
57,118B,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
57,118C,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
56,118D,light green blue,bleu-vert clair,hellgrünblau,azul verdoso claro
57,119A,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
57,119B,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
57,119C,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
57,119D,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
57,120A,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
57,120B,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
57,120C,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
56,120D,light green blue,bleu-vert clair,hellgrünblau,azul verdoso claro
57,121A,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
57,121B,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
57,121C,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
56,121D,light green blue,bleu-vert clair,hellgrünblau,azul verdoso claro
57,122A,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
57,122B,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
57,122C,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
56,122D,light green blue,bleu-vert clair,hellgrünblau,azul verdoso claro
10,123A,light blue green,vert-bleu clair,hellblaugrün,verde azulado claro
10,123B,light blue green,vert-bleu clair,hellblaugrün,verde azulado claro
10,123C,light blue green,vert-bleu clair,hellblaugrün,verde azulado claro
10,123D,light blue green,vert-bleu clair,hellblaugrün,verde azulado claro
12,124A,dark blue green,vert-bleu foncé,dunkelblaugrün,verde azulado oscuro
11,124B,medium blue green,vert-bleu moyen,mittelblaugrün,verde azulado medio
10,124C,light blue green,vert-bleu clair,hellblaugrün,verde azulado claro
10,124D,light blue green,vert-bleu clair,hellblaugrün,verde azulado claro
12,125A,dark blue green,vert-bleu foncé,dunkelblaugrün,verde azulado oscuro
11,125B,medium blue green,vert-bleu moyen,mittelblaugrün,verde azulado medio
11,125C,medium blue green,vert-bleu moyen,mittelblaugrün,verde azulado medio
10,125D,light blue green,vert-bleu clair,hellblaugrün,verde azulado claro
12,126A,dark blue green,vert-bleu foncé,dunkelblaugrün,verde azulado oscuro
12,126B,dark blue green,vert-bleu foncé,dunkelblaugrün,verde azulado oscuro
12,126C,dark blue green,vert-bleu foncé,dunkelblaugrün,verde azulado oscuro
11,126D,medium blue green,vert-bleu moyen,mittelblaugrün,verde azulado medio
12,127A,dark blue green,vert-bleu foncé,dunkelblaugrün,verde azulado oscuro
12,127B,dark blue green,vert-bleu foncé,dunkelblaugrün,verde azulado oscuro
12,127C,dark blue green,vert-bleu foncé,dunkelblaugrün,verde azulado oscuro
11,127D,medium blue green,vert-bleu moyen,mittelblaugrün,verde azulado medio
3,128A,medium green,vert moyen,mittelgrün,verde medio
11,128B,medium blue green,vert-bleu moyen,mittelblaugrün,verde azulado medio
11,128C,medium blue green,vert-bleu moyen,mittelblaugrün,verde azulado medio
10,128D,light blue green,vert-bleu clair,hellblaugrün,verde azulado claro
3,129A,medium green,vert moyen,mittelgrün,verde medio
11,129B,medium blue green,vert-bleu moyen,mittelblaugrün,verde azulado medio
11,129C,medium blue green,vert-bleu moyen,mittelblaugrün,verde azulado medio
10,129D,light blue green,vert-bleu clair,hellblaugrün,verde azulado claro
3,130A,medium green,vert moyen,mittelgrün,verde medio
2,130B,light green,vert clair,hellgrün,verde claro
10,130C,light blue green,vert-bleu clair,hellblaugrün,verde azulado claro
10,130D,light blue green,vert-bleu clair,hellblaugrün,verde azulado claro
4,131A,dark green,vert foncé,dunkelgrün,verde oscuro
4,131B,dark green,vert foncé,dunkelgrün,verde oscuro
4,131C,dark green,vert foncé,dunkelgrün,verde oscuro
4,131D,dark green,vert foncé,dunkelgrün,verde oscuro
4,132A,dark green,vert foncé,dunkelgrün,verde oscuro
4,132B,dark green,vert foncé,dunkelgrün,verde oscuro
4,132C,dark green,vert foncé,dunkelgrün,verde oscuro
3,132D,medium green,vert moyen,mittelgrün,verde medio
4,133A,dark green,vert foncé,dunkelgrün,verde oscuro
12,133B,dark blue green,vert-bleu foncé,dunkelblaugrün,verde azulado oscuro
11,133C,medium blue green,vert-bleu moyen,mittelblaugrün,verde azulado medio
11,133D,medium blue green,vert-bleu moyen,mittelblaugrün,verde azulado medio
3,134A,medium green,vert moyen,mittelgrün,verde medio
3,134B,medium green,vert moyen,mittelgrün,verde medio
2,134C,light green,vert clair,hellgrün,verde claro
2,134D,light green,vert clair,hellgrün,verde claro
4,135A,dark green,vert foncé,dunkelgrün,verde oscuro
4,135B,dark green,vert foncé,dunkelgrün,verde oscuro
3,135C,medium green,vert moyen,mittelgrün,verde medio
2,135D,light green,vert clair,hellgrün,verde claro
4,136A,dark green,vert foncé,dunkelgrün,verde oscuro
4,136B,dark green,vert foncé,dunkelgrün,verde oscuro
14,136C,medium brown green,vert-brun moyen,mittelbraungrün,verde amarronado medio
2,136D,light green,vert clair,hellgrün,verde claro
4,137A,dark green,vert foncé,dunkelgrün,verde oscuro
15,137B,dark brown green,vert-brun foncé,dunkelbraungrün,verde amarronado oscuro
14,137C,medium brown green,vert-brun moyen,mittelbraungrün,verde amarronado medio
14,137D,medium brown green,vert-brun moyen,mittelbraungrün,verde amarronado medio
14,138A,medium brown green,vert-brun moyen,mittelbraungrün,verde amarronado medio
14,138B,medium brown green,vert-brun moyen,mittelbraungrün,verde amarronado medio
2,138C,light green,vert clair,hellgrün,verde claro
2,138D,light green,vert clair,hellgrün,verde claro
4,139A,dark green,vert foncé,dunkelgrün,verde oscuro
14,139B,medium brown green,vert-brun moyen,mittelbraungrün,verde amarronado medio
14,139C,medium brown green,vert-brun moyen,mittelbraungrün,verde amarronado medio
2,139D,light green,vert clair,hellgrün,verde claro
3,140A,medium green,vert moyen,mittelgrün,verde medio
3,140B,medium green,vert moyen,mittelgrün,verde medio
2,140C,light green,vert clair,hellgrün,verde claro
2,140D,light green,vert clair,hellgrün,verde claro
4,141A,dark green,vert foncé,dunkelgrün,verde oscuro
4,141B,dark green,vert foncé,dunkelgrün,verde oscuro
3,141C,medium green,vert moyen,mittelgrün,verde medio
2,141D,light green,vert clair,hellgrün,verde claro
2,142A,light green,vert clair,hellgrün,verde claro
2,142B,light green,vert clair,hellgrün,verde claro
2,142C,light green,vert clair,hellgrün,verde claro
2,142D,light green,vert clair,hellgrün,verde claro
3,143A,medium green,vert moyen,mittelgrün,verde medio
3,143B,medium green,vert moyen,mittelgrün,verde medio
3,143C,medium green,vert moyen,mittelgrün,verde medio
2,143D,light green,vert clair,hellgrün,verde claro
3,144A,medium green,vert moyen,mittelgrün,verde medio
2,144B,light green,vert clair,hellgrün,verde claro
2,144C,light green,vert clair,hellgrün,verde claro
2,144D,light green,vert clair,hellgrün,verde claro
2,145A,light green,vert clair,hellgrün,verde claro
2,145B,light green,vert clair,hellgrün,verde claro
2,145C,light green,vert clair,hellgrün,verde claro
2,145D,light green,vert clair,hellgrün,verde claro
15,146A,dark brown green,vert-brun foncé,dunkelbraungrün,verde amarronado oscuro
15,146B,dark brown green,vert-brun foncé,dunkelbraungrün,verde amarronado oscuro
14,146C,medium brown green,vert-brun moyen,mittelbraungrün,verde amarronado medio
14,146D,medium brown green,vert-brun moyen,mittelbraungrün,verde amarronado medio
15,147A,dark brown green,vert-brun foncé,dunkelbraungrün,verde amarronado oscuro
14,147B,medium brown green,vert-brun moyen,mittelbraungrün,verde amarronado medio
14,147C,medium brown green,vert-brun moyen,mittelbraungrün,verde amarronado medio
13,147D,light brown green,vert-brun clair,hellbraungrün,verde amarronado claro
15,148A,dark brown green,vert-brun foncé,dunkelbraungrün,verde amarronado oscuro
14,148B,medium brown green,vert-brun moyen,mittelbraungrün,verde amarronado medio
14,148C,medium brown green,vert-brun moyen,mittelbraungrün,verde amarronado medio
13,148D,light brown green,vert-brun clair,hellbraungrün,verde amarronado claro
2,149A,light green,vert clair,hellgrün,verde claro
2,149B,light green,vert clair,hellgrün,verde claro
2,149C,light green,vert clair,hellgrün,verde claro
2,149D,light green,vert clair,hellgrün,verde claro
6,150A,medium yellow green,vert-jaune moyen,mittelgelbgrün,verde amarillento medio
6,150B,medium yellow green,vert-jaune moyen,mittelgelbgrün,verde amarillento medio
6,150C,medium yellow green,vert-jaune moyen,mittelgelbgrün,verde amarillento medio
16,150D,light yellow,jaune clair,hellgelb,amarillo claro
2,151A,light green,vert clair,hellgrün,verde claro
2,151B,light green,vert clair,hellgrün,verde claro
6,151C,medium yellow green,vert-jaune moyen,mittelgelbgrün,verde amarillento medio
6,151D,medium yellow green,vert-jaune moyen,mittelgelbgrün,verde amarillento medio
68,152A,dark green brown,brun-vert foncé,dunkelgrünbraun,marrón verdoso oscuro
68,152B,dark green brown,brun-vert foncé,dunkelgrünbraun,marrón verdoso oscuro
68,152C,dark green brown,brun-vert foncé,dunkelgrünbraun,marrón verdoso oscuro
68,152D,dark green brown,brun-vert foncé,dunkelgrünbraun,marrón verdoso oscuro
68,153A,dark green brown,brun-vert foncé,dunkelgrünbraun,marrón verdoso oscuro
67,153B,medium green brown,brun-vert moyen,mittelgrünbraun,marrón verdoso medio
67,153C,medium green brown,brun-vert moyen,mittelgrünbraun,marrón verdoso medio
67,153D,medium green brown,brun-vert moyen,mittelgrünbraun,marrón verdoso medio
6,154A,medium yellow green,vert-jaune moyen,mittelgelbgrün,verde amarillento medio
6,154B,medium yellow green,vert-jaune moyen,mittelgelbgrün,verde amarillento medio
6,154C,medium yellow green,vert-jaune moyen,mittelgelbgrün,verde amarillento medio
5,154D,light yellow green,vert-jaune clair,hellgelbgrün,verde amarillento claro
1,155A,white,blanc,weiß,blanco
1,155B,white,blanc,weiß,blanco
1,155C,white,blanc,weiß,blanco
1,155D,white,blanc,weiß,blanco
69,156A,yellow grey,gris-jaune,gelbgrau,gris amarillento
69,156B,yellow grey,gris-jaune,gelbgrau,gris amarillento
69,156C,yellow grey,gris-jaune,gelbgrau,gris amarillento
69,156D,yellow grey,gris-jaune,gelbgrau,gris amarillento
2,157A,light green,vert clair,hellgrün,verde claro
2,157B,light green,vert clair,hellgrün,verde claro
2,157C,light green,vert clair,hellgrün,verde claro
1,157D,white,blanc,weiß,blanco
19,158A,light yellow orange,orange-jaune clair,hellgelborange,naranja amarillento claro
19,158B,light yellow orange,orange-jaune clair,hellgelborange,naranja amarillento claro
19,158C,light yellow orange,orange-jaune clair,hellgelborange,naranja amarillento claro
19,158D,light yellow orange,orange-jaune clair,hellgelborange,naranja amarillento claro
19,159A,light yellow orange,orange-jaune clair,hellgelborange,naranja amarillento claro
19,159B,light yellow orange,orange-jaune clair,hellgelborange,naranja amarillento claro
19,159C,light yellow orange,orange-jaune clair,hellgelborange,naranja amarillento claro
19,159D,light yellow orange,orange-jaune clair,hellgelborange,naranja amarillento claro
66,160A,light green brown,brun-vert clair,hellgrünbraun,marrón verdoso claro
66,160B,light green brown,brun-vert clair,hellgrünbraun,marrón verdoso claro
66,160C,light green brown,brun-vert clair,hellgrünbraun,marrón verdoso claro
66,160D,light green brown,brun-vert clair,hellgrünbraun,marrón verdoso claro
62,161A,light yellow brown,brun-jaune clair,hellgelbbraun,marrón amarillento claro
62,161B,light yellow brown,brun-jaune clair,hellgelbbraun,marrón amarillento claro
62,161C,light yellow brown,brun-jaune clair,hellgelbbraun,marrón amarillento claro
62,161D,light yellow brown,brun-jaune clair,hellgelbbraun,marrón amarillento claro
62,162A,light yellow brown,brun-jaune clair,hellgelbbraun,marrón amarillento claro
62,162B,light yellow brown,brun-jaune clair,hellgelbbraun,marrón amarillento claro
62,162C,light yellow brown,brun-jaune clair,hellgelbbraun,marrón amarillento claro
62,162D,light yellow brown,brun-jaune clair,hellgelbbraun,marrón amarillento claro
63,163A,medium yellow brown,brun-jaune moyen,mittelgelbbraun,marrón amarillento medio
63,163B,medium yellow brown,brun-jaune moyen,mittelgelbbraun,marrón amarillento medio
62,163C,light yellow brown,brun-jaune clair,hellgelbbraun,marrón amarillento claro
62,163D,light yellow brown,brun-jaune clair,hellgelbbraun,marrón amarillento claro
59,164A,light brown,brun clair,hellbraun,marrón claro
63,164B,medium yellow brown,brun-jaune moyen,mittelgelbbraun,marrón amarillento medio
63,164C,medium yellow brown,brun-jaune moyen,mittelgelbbraun,marrón amarillento medio
59,164D,light brown,brun clair,hellbraun,marrón claro
60,165A,medium brown,brun moyen,mittelbraun,marrón medio
59,165B,light brown,brun clair,hellbraun,marrón claro
63,165C,medium yellow brown,brun-jaune moyen,mittelgelbbraun,marrón amarillento medio
59,165D,light brown,brun clair,hellbraun,marrón claro
61,166A,dark brown,brun foncé,dunkelbraun,marrón oscuro
60,166B,medium brown,brun moyen,mittelbraun,marrón medio
60,166C,medium brown,brun moyen,mittelbraun,marrón medio
59,166D,light brown,brun clair,hellbraun,marrón claro
59,167A,light brown,brun clair,hellbraun,marrón claro
59,167B,light brown,brun clair,hellbraun,marrón claro
59,167C,light brown,brun clair,hellbraun,marrón claro
59,167D,light brown,brun clair,hellbraun,marrón claro
64,168A,orange brown,brun orangé,orangebraun,marrón anaranjado
64,168B,orange brown,brun orangé,orangebraun,marrón anaranjado
64,168C,orange brown,brun orangé,orangebraun,marrón anaranjado
59,168D,light brown,brun clair,hellbraun,marrón claro
33,169A,orange red,rouge orangé,orangerot,rojo anaranjado
64,169B,orange brown,brun orangé,orangebraun,marrón anaranjado
64,169C,orange brown,brun orangé,orangebraun,marrón anaranjado
64,169D,orange brown,brun orangé,orangebraun,marrón anaranjado
64,170A,orange brown,brun orangé,orangebraun,marrón anaranjado
64,170B,orange brown,brun orangé,orangebraun,marrón anaranjado
64,170C,orange brown,brun orangé,orangebraun,marrón anaranjado
26,170D,medium orange pink,rose orangé moyen,mittelorangerosa,rosa anaranjado medio
64,171A,orange brown,brun orangé,orangebraun,marrón anaranjado
64,171B,orange brown,brun orangé,orangebraun,marrón anaranjado
64,171C,orange brown,brun orangé,orangebraun,marrón anaranjado
64,171D,orange brown,brun orangé,orangebraun,marrón anaranjado
60,172A,medium brown,brun moyen,mittelbraun,marrón medio
60,172B,medium brown,brun moyen,mittelbraun,marrón medio
64,172C,orange brown,brun orangé,orangebraun,marrón anaranjado
64,172D,orange brown,brun orangé,orangebraun,marrón anaranjado
60,173A,medium brown,brun moyen,mittelbraun,marrón medio
64,173B,orange brown,brun orangé,orangebraun,marrón anaranjado
60,173C,medium brown,brun moyen,mittelbraun,marrón medio
26,173D,medium orange pink,rose orangé moyen,mittelorangerosa,rosa anaranjado medio
60,174A,medium brown,brun moyen,mittelbraun,marrón medio
60,174B,medium brown,brun moyen,mittelbraun,marrón medio
60,174C,medium brown,brun moyen,mittelbraun,marrón medio
59,174D,light brown,brun clair,hellbraun,marrón claro
60,175A,medium brown,brun moyen,mittelbraun,marrón medio
60,175B,medium brown,brun moyen,mittelbraun,marrón medio
60,175C,medium brown,brun moyen,mittelbraun,marrón medio
60,175D,medium brown,brun moyen,mittelbraun,marrón medio
60,176A,medium brown,brun moyen,mittelbraun,marrón medio
60,176B,medium brown,brun moyen,mittelbraun,marrón medio
60,176C,medium brown,brun moyen,mittelbraun,marrón medio
60,176D,medium brown,brun moyen,mittelbraun,marrón medio
61,177A,dark brown,brun foncé,dunkelbraun,marrón oscuro
60,177B,medium brown,brun moyen,mittelbraun,marrón medio
60,177C,medium brown,brun moyen,mittelbraun,marrón medio
60,177D,medium brown,brun moyen,mittelbraun,marrón medio
41,178A,dark brown purple,pourpre-brun foncé,dunkelbraunpurpurn,púrpura amarronado oscuro
39,178B,brown red,rouge-brun,braunrot,rojo amarronado
39,178C,brown red,rouge-brun,braunrot,rojo amarronado
39,178D,brown red,rouge-brun,braunrot,rojo amarronado
39,179A,brown red,rouge-brun,braunrot,rojo amarronado
39,179B,brown red,rouge-brun,braunrot,rojo amarronado
26,179C,medium orange pink,rose orangé moyen,mittelorangerosa,rosa anaranjado medio
26,179D,medium orange pink,rose orangé moyen,mittelorangerosa,rosa anaranjado medio
39,180A,brown red,rouge-brun,braunrot,rojo amarronado
39,180B,brown red,rouge-brun,braunrot,rojo amarronado
39,180C,brown red,rouge-brun,braunrot,rojo amarronado
39,180D,brown red,rouge-brun,braunrot,rojo amarronado
40,181A,medium brown purple,pourpre-brun moyen,mittelbraunpurpurn,púrpura amarronado medio
39,181B,brown red,rouge-brun,braunrot,rojo amarronado
39,181C,brown red,rouge-brun,braunrot,rojo amarronado
39,181D,brown red,rouge-brun,braunrot,rojo amarronado
40,182A,medium brown purple,pourpre-brun moyen,mittelbraunpurpurn,púrpura amarronado medio
39,182B,brown red,rouge-brun,braunrot,rojo amarronado
39,182C,brown red,rouge-brun,braunrot,rojo amarronado
39,182D,brown red,rouge-brun,braunrot,rojo amarronado
41,183A,dark brown purple,pourpre-brun foncé,dunkelbraunpurpurn,púrpura amarronado oscuro
41,183B,dark brown purple,pourpre-brun foncé,dunkelbraunpurpurn,púrpura amarronado oscuro
41,183C,dark brown purple,pourpre-brun foncé,dunkelbraunpurpurn,púrpura amarronado oscuro
40,183D,medium brown purple,pourpre-brun moyen,mittelbraunpurpurn,púrpura amarronado medio
41,184A,dark brown purple,pourpre-brun foncé,dunkelbraunpurpurn,púrpura amarronado oscuro
40,184B,medium brown purple,pourpre-brun moyen,mittelbraunpurpurn,púrpura amarronado medio
40,184C,medium brown purple,pourpre-brun moyen,mittelbraunpurpurn,púrpura amarronado medio
40,184D,medium brown purple,pourpre-brun moyen,mittelbraunpurpurn,púrpura amarronado medio
38,185A,dark purple red,rouge-pourpre foncé,dunkelpurpurrot,rojo púrpura oscuro
40,185B,medium brown purple,pourpre-brun moyen,mittelbraunpurpurn,púrpura amarronado medio
40,185C,medium brown purple,pourpre-brun moyen,mittelbraunpurpurn,púrpura amarronado medio
40,185D,medium brown purple,pourpre-brun moyen,mittelbraunpurpurn,púrpura amarronado medio
40,186A,medium brown purple,pourpre-brun moyen,mittelbraunpurpurn,púrpura amarronado medio
40,186B,medium brown purple,pourpre-brun moyen,mittelbraunpurpurn,púrpura amarronado medio
32,186C,dark blue pink,rose-bleu foncé,dunkelblaurosa,rosa azulado oscuro
31,186D,medium blue pink,rose-bleu moyen,mittelblaurosa,rosa azulado medio
61,187A,dark brown,brun foncé,dunkelbraun,marrón oscuro
38,187B,dark purple red,rouge-pourpre foncé,dunkelpurpurrot,rojo púrpura oscuro
38,187C,dark purple red,rouge-pourpre foncé,dunkelpurpurrot,rojo púrpura oscuro
38,187D,dark purple red,rouge-pourpre foncé,dunkelpurpurrot,rojo púrpura oscuro
8,188A,medium grey green,vert-gris moyen,mittelgraugrün,verde grisáceo medio
8,188B,medium grey green,vert-gris moyen,mittelgraugrün,verde grisáceo medio
8,188C,medium grey green,vert-gris moyen,mittelgraugrün,verde grisáceo medio
7,188D,light grey green,vert-gris clair,hellgraugrün,verde grisáceo claro
15,189A,dark brown green,vert-brun foncé,dunkelbraungrün,verde amarronado oscuro
9,189B,dark grey green,vert-gris foncé,dunkelgraugrün,verde grisáceo oscuro
8,189C,medium grey green,vert-gris moyen,mittelgraugrün,verde grisáceo medio
7,189D,light grey green,vert-gris clair,hellgraugrün,verde grisáceo claro
8,190A,medium grey green,vert-gris moyen,mittelgraugrün,verde grisáceo medio
8,190B,medium grey green,vert-gris moyen,mittelgraugrün,verde grisáceo medio
8,190C,medium grey green,vert-gris moyen,mittelgraugrün,verde grisáceo medio
7,190D,light grey green,vert-gris clair,hellgraugrün,verde grisáceo claro
14,191A,medium brown green,vert-brun moyen,mittelbraungrün,verde amarronado medio
14,191B,medium brown green,vert-brun moyen,mittelbraungrün,verde amarronado medio
8,191C,medium grey green,vert-gris moyen,mittelgraugrün,verde grisáceo medio
8,191D,medium grey green,vert-gris moyen,mittelgraugrün,verde grisáceo medio
7,192A,light grey green,vert-gris clair,hellgraugrün,verde grisáceo claro
7,192B,light grey green,vert-gris clair,hellgraugrün,verde grisáceo claro
7,192C,light grey green,vert-gris clair,hellgraugrün,verde grisáceo claro
7,192D,light grey green,vert-gris clair,hellgraugrün,verde grisáceo claro
13,193A,light brown green,vert-brun clair,hellbraungrün,verde amarronado claro
13,193B,light brown green,vert-brun clair,hellbraungrün,verde amarronado claro
7,193C,light grey green,vert-gris clair,hellgraugrün,verde grisáceo claro
7,193D,light grey green,vert-gris clair,hellgraugrün,verde grisáceo claro
14,194A,medium brown green,vert-brun moyen,mittelbraungrün,verde amarronado medio
14,194B,medium brown green,vert-brun moyen,mittelbraungrün,verde amarronado medio
13,194C,light brown green,vert-brun clair,hellbraungrün,verde amarronado claro
8,194D,medium grey green,vert-gris moyen,mittelgraugrün,verde grisáceo medio
8,195A,medium grey green,vert-gris moyen,mittelgraugrün,verde grisáceo medio
8,195B,medium grey green,vert-gris moyen,mittelgraugrün,verde grisáceo medio
8,195C,medium grey green,vert-gris moyen,mittelgraugrün,verde grisáceo medio
8,195D,medium grey green,vert-gris moyen,mittelgraugrün,verde grisáceo medio
8,196A,medium grey green,vert-gris moyen,mittelgraugrün,verde grisáceo medio
8,196B,medium grey green,vert-gris moyen,mittelgraugrün,verde grisáceo medio
8,196C,medium grey green,vert-gris moyen,mittelgraugrün,verde grisáceo medio
7,196D,light grey green,vert-gris clair,hellgraugrün,verde grisáceo claro
70,197A,brown grey,gris-brun,braungrau,gris amarronado
70,197B,brown grey,gris-brun,braungrau,gris amarronado
70,197C,brown grey,gris-brun,braungrau,gris amarronado
70,197D,brown grey,gris-brun,braungrau,gris amarronado
70,198A,brown grey,gris-brun,braungrau,gris amarronado
70,198B,brown grey,gris-brun,braungrau,gris amarronado
70,198C,brown grey,gris-brun,braungrau,gris amarronado
70,198D,brown grey,gris-brun,braungrau,gris amarronado
65,199A,grey brown,brun-gris,graubraun,marrón grisáceo
65,199B,grey brown,brun-gris,graubraun,marrón grisáceo
65,199C,grey brown,brun-gris,graubraun,marrón grisáceo
65,199D,grey brown,brun-gris,graubraun,marrón grisáceo
61,200A,dark brown,brun foncé,dunkelbraun,marrón oscuro
61,200B,dark brown,brun foncé,dunkelbraun,marrón oscuro
61,200C,dark brown,brun foncé,dunkelbraun,marrón oscuro
61,200D,dark brown,brun foncé,dunkelbraun,marrón oscuro
71,201A,purple grey,gris-pourpre,purpurgrau,gris púrpura
71,201B,purple grey,gris-pourpre,purpurgrau,gris púrpura
71,201C,purple grey,gris-pourpre,purpurgrau,gris púrpura
71,201D,purple grey,gris-pourpre,purpurgrau,gris púrpura
73,202A,black,noir,schwarz,negro
72,202B,grey,gris,grau,gris
72,202C,grey,gris,grau,gris
72,202D,grey,gris,grau,gris
73,203A,black,noir,schwarz,negro
73,203B,black,noir,schwarz,negro
73,203C,black,noir,schwarz,negro
73,203D,black,noir,schwarz,negro
24,N25A,dark orange,orange foncé,dunkelorange,naranja oscuro
24,N25B,dark orange,orange foncé,dunkelorange,naranja oscuro
23,N25C,medium orange,orange moyen,mittelorange,naranja medio
20,N25D,medium yellow orange,orange-jaune moyen,mittelgelborange,naranja amarillento medio
34,N30A,light red,rouge clair,hellrot,rojo claro
33,N30B,orange red,rouge orangé,orangerot,rojo anaranjado
33,N30C,orange red,rouge orangé,orangerot,rojo anaranjado
24,N30D,dark orange,orange foncé,dunkelorange,naranja oscuro
36,N34A,dark red,rouge foncé,dunkelrot,rojo oscuro
35,N34B,medium red,rouge moyen,mittelrot,rojo medio
28,N34C,red pink,rose-rouge,rotrosa,rosa rojizo
33,N34D,orange red,rouge orangé,orangerot,rojo anaranjado
36,N45A,dark red,rouge foncé,dunkelrot,rojo oscuro
36,N45B,dark red,rouge foncé,dunkelrot,rojo oscuro
36,N45C,dark red,rouge foncé,dunkelrot,rojo oscuro
28,N45D,red pink,rose-rouge,rotrosa,rosa rojizo
37,N57A,medium purple red,rouge-pourpre moyen,mittelpurpurrot,rojo púrpura medio
37,N57B,medium purple red,rouge-pourpre moyen,mittelpurpurrot,rojo púrpura medio
37,N57C,medium purple red,rouge-pourpre moyen,mittelpurpurrot,rojo púrpura medio
31,N57D,medium blue pink,rose-bleu moyen,mittelblaurosa,rosa azulado medio
37,N66A,medium purple red,rouge-pourpre moyen,mittelpurpurrot,rojo púrpura medio
37,N66B,medium purple red,rouge-pourpre moyen,mittelpurpurrot,rojo púrpura medio
32,N66C,dark blue pink,rose-bleu foncé,dunkelblaurosa,rosa azulado oscuro
31,N66D,medium blue pink,rose-bleu moyen,mittelblaurosa,rosa azulado medio
42,N74A,medium purple,pourpre moyen,mittelpurpurn,púrpura medio
42,N74B,medium purple,pourpre moyen,mittelpurpurn,púrpura medio
32,N74C,dark blue pink,rose-bleu foncé,dunkelblaurosa,rosa azulado oscuro
32,N74D,dark blue pink,rose-bleu foncé,dunkelblaurosa,rosa azulado oscuro
44,N75A,light violet,violet clair,hellviolett,violeta claro
44,N75B,light violet,violet clair,hellviolett,violeta claro
44,N75C,light violet,violet clair,hellviolett,violeta claro
44,N75D,light violet,violet clair,hellviolett,violeta claro
61,N77A,dark brown,brun foncé,dunkelbraun,marrón oscuro
43,N77B,dark purple,pourpre foncé,dunkelpurpurn,púrpura oscuro
46,N77C,dark violet,violet foncé,dunkelviolett,violeta oscuro
45,N77D,medium violet,violet moyen,mittelviolett,violeta medio
45,N78A,medium violet,violet moyen,mittelviolett,violeta medio
45,N78B,medium violet,violet moyen,mittelviolett,violeta medio
45,N78C,medium violet,violet moyen,mittelviolett,violeta medio
45,N78D,medium violet,violet moyen,mittelviolett,violeta medio
43,N79A,dark purple,pourpre foncé,dunkelpurpurn,púrpura oscuro
43,N79B,dark purple,pourpre foncé,dunkelpurpurn,púrpura oscuro
43,N79C,dark purple,pourpre foncé,dunkelpurpurn,púrpura oscuro
45,N79D,medium violet,violet moyen,mittelviolett,violeta medio
45,N80A,medium violet,violet moyen,mittelviolett,violeta medio
45,N80B,medium violet,violet moyen,mittelviolett,violeta medio
44,N80C,light violet,violet clair,hellviolett,violeta claro
44,N80D,light violet,violet clair,hellviolett,violeta claro
45,N81A,medium violet,violet moyen,mittelviolett,violeta medio
45,N81B,medium violet,violet moyen,mittelviolett,violeta medio
45,N81C,medium violet,violet moyen,mittelviolett,violeta medio
44,N81D,light violet,violet clair,hellviolett,violeta claro
45,N82A,medium violet,violet moyen,mittelviolett,violeta medio
48,N82B,medium blue violet,violet-bleu moyen,mittelblauviolett,violeta azulado medio
48,N82C,medium blue violet,violet-bleu moyen,mittelblauviolett,violeta azulado medio
